bit,coefficient
844,0.12879967347010776
845,-0.33875084725295934
846,-0.824325643169464
847,-0.11966374361223518
848,-0.49062183603910203
849,0.6035756808994652
850,-0.6819739368772453
851,-0.29324101432012795
852,0.14784027516054948
853,-0.38027696753862983
854,0.15730218880673438
855,-0.10200496377996292
856,0.32491355188320015
857,-0.22154614223664904
858,-0.19320273782783431
859,-0.3644388378981675
860,0.21532409542342484
861,0.21486202218463407
862,-0.06168044885662981
863,0.2338554308697139
864,-0.29668405028805567
865,1.093374672752914
866,-0.053292570660594604
867,-0.2529918035423733
868,0.1615953623248245
869,1.3743069436449296
870,0.1474575701395148
871,0.028362330249987067
872,-0.39519262621336193
873,-0.09126439580747266
874,0.028239037889469115
875,-0.13268803156904152
876,-0.06840203138197215
877,-0.21855489617338789
878,-0.4620797865973759
879,0.9723249328028589
880,0.2457824747715735
881,0.2391961921450433
882,0.4800845773826405
883,-0.10632734393018853
884,-0.31233804860230735
885,0.3581045444948028
886,-0.6757307379509193
887,-0.23948828787463375
888,0.4260276342208412
889,0.540745045774834
890,-0.7106401072541003
891,0.9385928779632349
892,0.1838954083117718
893,0.7895595412469297
894,0.7305343016996136
895,0.06959828564629544
896,-1.1796292486915647
897,0.6078926302460536
898,-0.1364831345838449
899,-0.5034068561735665
900,-0.08104480420369826
901,-0.7259530819672035
902,-0.31622371530070587
903,-0.7131684258816532
904,-0.6466557489019299
905,-0.11884046013772576
906,-0.049748893795363534
907,0.4827149225347028
908,-0.40124054309870005
909,-0.059723368617860983
910,0.11130054686474669
911,0.042897148880864024
912,0.07956285328381782
913,0.24145316428122532
914,-0.07802346688646807
915,0.4539591596151763
916,-0.24077938121581918
917,0.33864724376396693
918,-0.324412319533571
919,0.18874725776387255
920,-0.06089168950860544
921,-0.7291007341938184
922,0.4504032188382769
923,-0.9711359143200836
924,0.3642860355254412
925,1.4284498064275506
926,0.3100782089742282
927,-0.333295649734458
928,-1.418821499402529
929,-0.5217290780508674
930,0.13105667598813422
931,-0.030712095983010137
932,0.10590661769932802
933,-0.9341227433450126
934,-0.44122350234205576
935,-0.3106819886590872
936,-0.18975804104302038
937,-0.3598214710785967
938,0.7709386352664179
939,-0.264939916605286
940,0.22466895323924183
941,0.1316898009345066
942,1.0445496628212998
943,-0.22396337130495203
944,0.1586829790819618
945,-0.2917942382732295
946,0.3979915473869067
947,-0.19136594247655675
948,-0.13593327645273984
949,-1.1697643454012947
950,0.5906277529852324
951,0.047215689617659776
952,0.5015347224261074
953,0.056865431320418
954,-0.4933648478201301
955,0.07247485008434099
956,0.9026861870390219
957,-0.5924862931804652
958,-1.3503305563214556
959,-0.05885418158554829
960,-0.5300933443393473
961,0.07035707140355868
962,-0.011047468291047795
963,-0.08791045055393468
964,0.06761779832671064
965,-0.1904525458393256
966,-0.03332159198550441
967,0.026244383276243916
968,-0.06966915117108968
969,0.0950565969671702
